symbol,file,n_rows,iso_mean,mtad_mean,tranad_mean,graph_score,composite_score,iso_mean_n,mtad_mean_n,tranad_mean_n,graph_score_n
INFY,INFY_ohlcv.csv,1936,0.1728056027146497,0.1912510379535414,0.36180437090132106,0.5220126301782377,0.3810987094306304,0.28775136386881306,0.3200046896335121,0.6330165512557887,0.5220126301782377
WIPRO,WIPRO_ohlcv.csv,1936,0.19124106937396662,0.16877655134692815,0.3154683632581986,0.3767601468948236,0.378711224541156,0.5929794132350417,0.1677634191300006,0.5307361786936146,0.3767601468948236
INDIGO,INDIGO_ohlcv.csv,1936,0.20696949076451895,0.20791550999319322,0.1721390011518217,,0.36426376301846763,0.8533880847032059,0.43288915458232674,0.21435629831531652,0.0
TECHM_NS,TECHM_ohlcv.csv,1936,0.17921983138236156,0.19616466104938382,0.40763506207149847,,0.36274726498985055,0.39394897419321445,0.35328937532979526,0.7341815071098016,0.0
SHRIRAMFIN_NS,SHRIRAMFIN_ohlcv.csv,1936,0.1876354121500065,0.2378775831403508,0.23086611984874097,,0.35882231048066515,0.533282105784655,0.6358510358784351,0.3439883465937674,0.0
BHARTIARTL_NS,BHARTIARTL_ohlcv.csv,1936,0.20109102799466283,0.17208189927996215,0.29768435914954094,,0.3585307085896052,0.7560609186665169,0.19015371340409443,0.4914804322795032,0.0
TITAN_NS,TITAN_ohlcv.csv,1936,0.19270839736071574,0.16944642644327304,0.3662444518982177,,0.3579371301487024,0.6172733281899726,0.1723011261544716,0.6428174202056242,0.0
TRENT,TRENT_ohlcv.csv,1936,0.19611014634002807,0.17135710897204856,0.16124567300924464,0.6330161068849309,0.35461264263668874,0.6735946150104677,0.18524401293988332,0.19031077265315532,0.6330161068849309
GRASIM_NS,GRASIM_ohlcv.csv,1936,0.18150727163759667,0.2643837784400272,0.18589615106854454,,0.34579195948581665,0.4318211333335067,0.8154029392998693,0.24472331719431448,0.0
TATACONSUM,TATACONSUM_ohlcv.csv,1936,0.18266911487086313,0.15808960244124068,0.23703227003346367,0.7595447179864847,0.340405348716906,0.4510572693268449,0.09537045604762166,0.3575992761979145,0.7595447179864847
HCLTECH_NS,HCLTECH_ohlcv.csv,1936,0.19485730536447368,0.20136880617086,0.235193661024486,,0.33919531504786954,0.652851868748534,0.38854204557077204,0.3535407993458993,0.0
BHARTIARTL,BHARTIARTL_ohlcv.csv,1936,0.20109102799466283,0.147919797794869,0.14892806687578766,0.6330161068849309,0.3349710233540207,0.7560609186665169,0.026480607427873715,0.16312134895253366,0.6330161068849309
COALINDIA,COALINDIA_ohlcv.csv,1936,0.19801012260024414,0.1918204063087043,0.22705594903053913,,0.3341811358419387,0.705051700337614,0.323861568025964,0.3355779178444306,0.0
SUNPHARMA_NS,SUNPHARMA_ohlcv.csv,1936,0.18152266247835686,0.21024375009534482,0.2902351803689185,,0.3266542721748415,0.43207595282845906,0.44866055961564505,0.4750373932755291,0.0
SBIN_NS,SBIN_ohlcv.csv,1936,0.17460913809001744,0.20766896855022254,0.3482513887263586,,0.32641559777465323,0.31761171916978803,0.4312190927399094,0.6031002046240258,0.0
EICHERMOT,EICHERMOT_ohlcv.csv,1936,0.2043588990798836,0.22605328665111915,0.07502931306330564,,0.32468990676119247,0.8101656470878151,0.5557537259002336,0.0,0.0
NTPC,NTPC_ohlcv.csv,1936,0.175706329008633,0.2200763922953424,0.294500675533782,,0.31865286000794574,0.33577743474727373,0.5152664833520116,0.48445288798073916,0.0
HDFCBANK,HDFCBANK_ohlcv.csv,1936,0.1706350392952914,0.18007497345937645,0.25255740051562436,0.6702318895505781,0.3165874139247129,0.251814283958682,0.2442984771801343,0.39186886934072057,0.6702318895505781
