Stock,Date,Open,High,Low,Close,Volume,Returns,Volume_Ratio,Combined_Suspiciousness,IsoForest_Anomaly,WaveLSTM_Anomaly,Pattern_Anomaly
BHARTIARTL,2021-07-28,517.5683233688662,547.499970493946,515.985422666411,544.8137817382812,32532037,0.050596591969038984,1.676855810068884,0.1810153272681384,0,0,0
BHARTIARTL,2019-11-25,402.7749769165743,435.5628996750442,402.7749769165743,431.500244140625,34112216,0.07310117542199568,0.8771334415652372,0.18099788554541385,1,0,0
HINDUNILVR,2022-03-10,1927.303445464256,1985.63267099804,1924.5796323911936,1974.3143310546875,4879791,0.05207947171160909,1.2038534928468057,0.18084830189289902,1,1,0
HDFCBANK,2021-12-20,690.6256264168148,693.4794513193636,672.5989541701382,678.0925903320312,21156668,-0.032178231837599824,1.5405015626175036,0.17988490093808865,0,0,0
HDFCBANK,2020-03-31,404.3492849888451,413.7263182768991,396.8666030278932,408.1853637695313,35211092,0.03637352043416775,0.7524166227076098,0.17988242363006465,1,0,0
HINDUNILVR,2020-04-03,2034.5861455613465,2052.8920453893843,1938.0024570735184,1961.818359375,4121436,-0.01172186287709831,1.3352168449801967,0.1798152863021642,1,0,0
SHRIRAMFIN,2025-02-04,553.5169241202049,577.3102118901144,542.9642876416484,574.1742553710938,12290382,0.05602851767368344,1.7638899070687106,0.17969885097007307,1,0,0
HINDUNILVR,2020-04-16,2245.8774316098607,2300.6581729672675,2204.9854294382003,2218.646484375,5388243,-0.020682790951497165,0.511361575454081,0.17933030814865286,1,0,0
HINDUNILVR,2020-03-16,1821.473851752368,1857.174694777138,1761.2741631867405,1768.56005859375,2948679,-0.04490457677726267,0.9439856255259474,0.1788355454829207,1,0,0
BAJFINANCE,2020-04-21,216.48351876422237,216.48351876422237,204.23897584769392,205.683837890625,73839850,-0.09032807302103929,0.9332858280107452,0.17878306503410474,1,0,0
