Stock,Date,Close,Volume,Returns,Volume_Ratio,Combined_Suspiciousness
BAJFINANCE,2025-01-28,755.9951171875,24789330,0.04264988894371702,2.2097449623317,0.22466597612139338
HINDUNILVR,2025-08-18,2568.10009765625,3089136,0.03527372271035256,2.042553056434665,0.22364950945786494
SHRIRAMFIN,2024-06-04,442.5767211914063,17788625,-0.09901755425332592,1.6244438429550032,0.22329939455539102
HINDUNILVR,2025-01-13,2425.4931640625,2595013,0.003664984196662502,1.5178514817548732,0.2231738924929048
SHRIRAMFIN,2025-02-28,614.5431518554688,23771834,0.017303919176439253,1.9502573271430035,0.22254296449538774
BAJFINANCE,2025-01-30,785.3191528320312,56488830,0.018299713092788883,2.56412324641703,0.2175724496405146
BHARTIARTL,2025-05-16,1798.9608154296875,100662047,-0.028491844838070213,3.8833930140499735,0.21664796081744342
SHRIRAMFIN,2024-06-13,525.5048217773438,10022455,0.045715771287967666,1.8719508869603676,0.21393670013758798
SHRIRAMFIN,2025-02-27,604.0900268554688,17099035,0.05668257514497954,1.909895452007516,0.21024766983391568
HDFCBANK,2024-06-05,765.5520629882812,81631650,0.04628657586696616,1.160743818156666,0.20960104974471272
HDFCBANK,2024-01-31,711.80224609375,65761040,0.012635884843198664,0.9182410793884996,0.20815946213480985
BHARTIARTL,2025-02-07,1662.8487548828125,14873255,0.03519063477849049,2.152041303436644,0.2044571714274412
BAJFINANCE,2024-03-05,625.4069213867188,17175580,-0.04213589230741044,1.6301261822168018,0.19803639763010672
SHRIRAMFIN,2025-01-20,512.0034790039062,12701612,-0.018613511900005708,1.7988897132202917,0.19654977305286675
SHRIRAMFIN,2024-06-14,534.8723754882812,15318425,0.01782581876081535,1.9955420062443958,0.19507496865701954
HDFCBANK,2024-06-03,775.615966796875,72637256,0.026541689645531497,1.4913483499060753,0.1941146209672255
BAJFINANCE,2025-02-03,837.4127197265625,43369260,0.05321179174207735,1.4505105904464806,0.192362299815087
HDFCBANK,2025-06-26,997.4179077148438,50084830,0.02100796522285253,1.8446634517322658,0.19231112023574692
BAJFINANCE,2024-10-21,673.9315185546875,22099660,-0.017196773838089152,1.7663011725702795,0.19147189948197685
HDFCBANK,2024-02-02,703.8206176757812,44867754,-0.013775620339521177,0.8948716322461904,0.1863176269346563
HDFCBANK,2024-06-25,844.2631225585938,74521548,0.023289886713483643,1.3017443822896344,0.1860434914590501
BAJFINANCE,2024-10-23,695.2897338867188,26373910,0.04760486346618675,1.6519499765742247,0.18482141278051456
HDFCBANK,2024-07-05,813.0598754882812,82242548,-0.045769107202913495,1.291425418840224,0.18481944737294748
SHRIRAMFIN,2024-10-18,658.2736206054688,9380205,0.02640697341439524,1.6584925516216626,0.18213443166571175
HDFCBANK,2025-10-23,1008.7999877929688,43526526,0.0010915704799172588,1.854711767868877,0.17971634362317024
SHRIRAMFIN,2025-07-25,615.8499755859375,16922561,-0.027937830554919496,2.168778397950543,0.17857191671160855
BAJFINANCE,2025-06-09,960.75,23496010,0.025182708180254476,1.786540850528731,0.1782665694769276
HINDUNILVR,2025-02-28,2167.45654296875,3683249,-0.024365847284645414,1.7083073409579697,0.1777730310053556
HDFCBANK,2025-04-15,920.0142211914062,49298344,0.032184884980663186,1.3841003584519207,0.17663983577125295
HINDUNILVR,2025-07-31,2521.199951171875,5505507,0.03438091908822383,2.9858537258395903,0.17603563004710734
HINDUNILVR,2025-04-24,2301.101318359375,7065430,-0.04063863164263304,2.3419233322509987,0.1743489045181758
BHARTIARTL,2024-06-21,1396.527587890625,43929578,0.025268777454105162,2.969702631010099,0.1737531815052975
BHARTIARTL,2024-06-05,1325.81591796875,12175520,0.03435407987197392,0.8691459842908804,0.17129811041413245
BHARTIARTL,2025-10-23,2007.9000244140625,8790128,-0.017421079317806454,1.6361255428684152,0.17081448742336203
HDFCBANK,2024-02-07,695.936279296875,54837086,-0.009798481118188818,1.2928617892292626,0.16893491477787856
HDFCBANK,2024-02-08,682.844482421875,69106124,-0.01881177525078448,1.390511435490313,0.16756829246502
HDFCBANK,2024-12-30,877.0943603515625,22222218,-0.011316565940579282,1.6965169387714094,0.1654943589947173
HINDUNILVR,2024-09-20,2912.7216796875,3641632,0.022615292821949184,2.1657930458290533,0.16477484893655125
BHARTIARTL,2024-05-31,1353.824462890625,24825643,-0.003195016249212035,2.7587746988118367,0.16317462178748188
HINDUNILVR,2024-04-15,2125.535888671875,4909564,-0.017134841766882403,1.8994354964447224,0.16089442335593593
BHARTIARTL,2024-06-07,1405.6005859375,12280748,0.03987289627595958,1.0119671839360818,0.1599675792424866
BHARTIARTL,2024-11-04,1578.0576171875,6094029,-0.015589650274204447,1.3300788099592264,0.15546448044619865
HINDUNILVR,2025-01-09,2410.055419921875,2425267,0.014327356819679338,1.8724911381083884,0.15255225753923413
HINDUNILVR,2025-02-20,2224.6552734375,2206196,-0.001044211761540792,1.5094819338043557,0.14806445596423412
